AVDA RODELILLO;5610;-330.650.253;-715.699.519;5610;Avenida Rodelillo;Valparaíso;Valparaíso;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;CL;Chile;10848552;RANGE_INTERPOLATED
PELECO;756;-38.725.786;-726.081.744;756;Peleco;Temuco;Temuco;Cautín;Cautín;IX Región;IX Región;CL;Chile;9520512;RANGE_INTERPOLATED
CHILLAN;675;-405.773.591;-731.548.509;675;Chillán;Osorno;Osorno;Osorno;Osorno;X Región;X Región;CL;Chile;9582223;RANGE_INTERPOLATED
AVENIDA ALEMANIA CALLE;25;-330.536.739;-716.266.289;25;Avenida Alemania;Valparaíso;Valparaíso;Valparaiso;Valparaiso;Región de Valparaíso;Región de Valparaíso;CL;Chile;9534790;RANGE_INTERPOLATED
JUAN VERDAGUER;284;-285.756.866;-707.553.633;284;Juan Verdaguer;Vallenar;Vallenar;Huasco;Huasco;III Región;III Región;CL;Chile;10992983;RANGE_INTERPOLATED
LUIS AGUILEA BAEZ;542;-305.867.278;-711.838.384;542;Avenida Luis Aguilera Baez;Ovalle;Ovalle;Limarí;Limarí;Región de Coquimbo;Región de Coquimbo;CL;Chile;1498413;RANGE_INTERPOLATED
PASAJE 8;3816;-334.990.983;-705.906.005;3816;Pasaje Ocho;Macul;Macul;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;1511301;RANGE_INTERPOLATED
VILUMILLA;2305;-387.706.323;-726.026.051;2305;Vilumilla;Padre las Casas;Padre las Casas;Cautín;Cautín;IX Región;IX Región;CL;Chile;1524130;RANGE_INTERPOLATED
IGNACIO SERRANO;391;-455.747.552;-720.656.025;391;Ignacio Serrano;Coyhaique;Coyhaique;Coihaique;Coihaique;XI Región;XI Región;CL;Chile;10986953;RANGE_INTERPOLATED
PJE. CHAÑARCILLO;60;-184.923.378;-702.917.782;60;Chañarcillo;Arica;Arica;Arica;Arica;Región de Arica y Parinacota;Región de Arica y Parinacota;CL;Chile;1531304;RANGE_INTERPOLATED
RIO MAULE;383;-354.538.095;-716.814.619;383;Río Maule;Maule;Maule;VII Región;VII Región;CL;Chile;S/N;S/N;1534298;RANGE_INTERPOLATED
PJE PICHILEMU;1279;-341.626.735;-70.697.822;1279;Pichilemu;Rancagua;Rancagua;Cachapoal;Cachapoal;VI Región;VI Región;CL;Chile;10848564;RANGE_INTERPOLATED
BLUMELL;72;-236.732.537;-70.408.375;72;José Blümell;Antofagasta;Antofagasta;Antofagasta;Antofagasta;Región de Antofagasta;Región de Antofagasta;CL;Chile;9221924;RANGE_INTERPOLATED
SAN ANTOLIN;9576;-335.415.258;-705.580.082;9576;San Antolín;La Florida;La Florida;Santiago;Santiago;Región Metropolitana;Región Metropolitana;CL;Chile;10957370;ROOFTOP
Baquedano;1085;-224.525.994;-689.159.872;1085;Baquedano;Calama;Calama;El Loa;El Loa;Región de Antofagasta;Región de Antofagasta;CL;Chile;10547177;RANGE_INTERPOLATED
